branch_id,from,to,model_cables,wire_count,colour,gauge,breakout_ref,breakout_mm,length_mm,method,measured_on,status,notes
B00.11,,,,1,Br/W,,DATUM,0,100,tape,2026-08-28,provisional,DOUBLE-FEMALE BULLET - a 1-to-2 distribution node. BROWN base with white tracer. ** Br/W is procedure item 0b - the long-unidentified wire. ** Also present in B01.2 (RH_4P) and B06.5. This is a lead not an answer; colour is not identity across splices
B00.12,,,,2,R/BK,,DATUM,0,100,tape,2026-08-28,provisional,TWO R/BK wires (RED base with BLACK tracer) crimped into ONE male bullet - a 2-to-1 shared-crimp splice - MATED TO THE HEADLIGHT PIGTAIL. R/BK is the other dimmer beam output; two merging suits headlight filament plus high-beam dash indicator. mate_class = subharness (headlight pigtail)
B01.1,,,,1,Bl/W,,DATUM,400,160,tape,2026-08-28,provisional,B01 is a zero-length fork at the trunk; its 4 children leave together at 400
B01.2,,,,4,,,DATUM,400,160,tape,2026-08-28,provisional,wires: Br Br/W Y/R BK (base colour first as read)
B01.3,,,,2,,,DATUM,400,260,tape,2026-08-28,provisional,HORN - wires Br BK on a pair of individual spade terminals. Identified at the bench 2026-08-28 by elimination: the bar switches carry their own pigtails that come down to meet the main harness at B01.2 (the 4P) so nothing bar-mounted hangs off B01 directly; front brake switch is on that pigtail not here. Horn is untranscribed (#9) so its absence from the cable index is expected. Pending ring-out
B01.4,,,W_NSW,1,LG,,DATUM,400,900,tape,2026-08-28,provisional,NEUTRAL SWITCH LEAD - identified at the bench 2026-08-28 with the wire in hand; pending ring-out confirmation. Recorded as LG not GN: Kawasaki LG and G both render GN in the models so GN here would lose the distinction
B02.1,,,,1,BK,,DATUM,430,120,tape,2026-08-28,provisional,B02 is a zero-length fork at the trunk - confirmed at the bench 2026-08-28: all 3 children split at B02 exactly. Single black wire on an individual SPADE terminal. Unidentified - black now serves at least four roles in this harness
B02.2,,,,1,Bl,,DATUM,430,200,tape,2026-08-28,provisional,Single blue wire on a BULLET connector. Candidates: dimmer common (wiring doc lists dimmer as R/BK . Bl . R/Y and Bl is absent from the 6P below) or brake light feed (blue is the brake circuit in the cable index). Open - see procedure item 5.6
B02.3,,,,6,,,DATUM,430,200,tape,2026-08-28,provisional,LEFT-HAND SWITCHGEAR 6P connector (candidate). Wires as read: red/black grey orange green red/yellow brown. Model LH carries only 3 of these (orange green grey = W_FLASH_OUT W_SIG_L W_SIG_R); red/black red/yellow brown are the headlight/dimmer circuit which is untranscribed (#9). Confirms the dimmer sits on the LEFT switch
B03,,,,1,Y/R,,DATUM,460,140,tape,2026-08-28,provisional,Single wire off the trunk - no children. Terminates in a DOUBLE-FEMALE BULLET TERMINAL - one wire crimped in; the terminal accepts TWO male bullets. This is a 1-to-2 DISTRIBUTION NODE: electrically a splice but mechanically separable. Nothing mated at present because the harness is off the bike; the two males belong to whatever it fed. Strong candidate for SP_YR (the Y/R node feeding COIL_L and COIL_R) - pending ring-out
B04,,FORK,,,,,DATUM,650,200,tape,2026-08-28,provisional,Runs 200mm as a bundle then forks into several children - each child breaks out at 200 along B04. wire_count DEFERRED TO STEP 3: the bundle is still taped and the count is not visible without unwrapping. Sum the children's counts now as a prediction and check it when the loom comes off - a mismatch means a splice inside these 200mm
B04.1,,GND_CHASSIS?,,1,Y/BK,>18?,B04,200,140,tape,2026-08-28,provisional,RING TERMINAL. Y/BK = YELLOW base with a thin BLACK tracer. Confirmed with certainty at the bench 2026-08-28 as distinct from the BLACK-base wires on B04.3/B04.5. Gauge in the 14-18 band - definitively NOT 6 AWG; this is therefore NOT W_BAT_GND (modelled 6 AWG BATT->GND_CHASSIS). The battery earth cable appears not to be part of this loom at all. Docs record exactly one ring terminal on the whole harness so this is the small-circuit chassis ground. Yellow base here vs BKYE (black base) on every modelled ground - see the colour-change hypothesis in measurements/README
B04.2,,,,2,Bl,,B04,200,60,tape,2026-08-28,provisional,TWO blue wires crimped into ONE bullet terminal - a 2-to-1 MERGE. Electrically a splice; mechanically a shared crimp. Strong candidate for SP_BRAKE (front + rear brake switch outputs merging to feed the tail lamp; W_BRK_OUT_F W_BRK_OUT_R W_BRAKE are all BU). Pending ring-out
B04.3,,,,4,,,B04,200,60,tape,2026-08-28,provisional,Wires as read: BK/Y (BLACK base; thin yellow tracer); yellow (18 AWG); yellow (18 AWG); brown. Connector: 4-PIN RECTANGULAR HOUSING with 4 flat female spade terminals; make/series unidentified (blade width not yet measured - needed for part selection). Two yellows together suggest the alternator phases (W_ALT is YE YE). Br + BK/Y + 2x Y is the classic Kawasaki regulator/rectifier set (AC phases in; DC out on Br; ground on BK/Y) - but the model has RR carrying YE YE WH BK; so Br-not-WH is a bench-vs-model conflict if this is RR
B04.4,,,,1,Br,,B04,200,60,tape,2026-08-28,provisional,Female bullet
B04.5,,,,1,BK/Y,,B04,200,70,tape,2026-08-28,provisional,Female bullet. BK/Y = BLACK base with a thin YELLOW tracer. Confirmed distinct from B04.1 (yellow base) at the bench 2026-08-28
B04.6,,,,1,W/R,,B04,200,60,tape,2026-08-28,provisional,Female bullet. White/red does not appear anywhere in the cable index - not transcribed (#9) or not yet modelled
B05,,FORK,,,,,DATUM,730,270,tape,2026-08-28,provisional,Runs 270mm as a TAPED bundle then forks into two BARE yellow wires (tape ends at the fork; the last 50mm of each wire is unsleeved). Recorded at bench as a node with children B05.1.1/B05.1.2; flattened to B05.1/B05.2 here because the intermediate level had zero length and no measurement - CONFIRM against the tape tags
B05.1,,,,1,Y,,B05,270,50,tape,2026-08-28,provisional,Male bullet; last 50mm bare. Yellow 18 AWG (confirmed not 14). Candidate: alternator phase (W_ALT) or left points/condenser (W_PTS_L/W_CAP_L) - the models flag yellow for exactly this collision. Gauge does NOT discriminate: W_ALT is modelled 14 AWG but the alternator's own leads are 18 AWG at the bench; see the W_ALT gauge finding
B05.2,,,,1,Y,,B05,270,50,tape,2026-08-28,provisional,Male bullet; last 50mm bare. Yellow 18 AWG. Pair with B05.1 - same candidates
B06,,FORK,,,,,DATUM,835,80,tape,2026-08-28,provisional,Runs 80mm TAPED before splitting into 5 children (B06.1-B06.5) which all break out at 80 along B06. wire_count DEFERRED TO STEP 3 - not visible under the tape; sum the children as the prediction
B06.1,,,,1,Y/R,,B06,80,100,tape,2026-08-28,provisional,Male bullet. Y/R is the kill-switch output feeding the coils (SP_YR) and the start button. Possible mate for the B03 double-female; unconfirmed
B06.2,,,,1,BK,,B06,80,100,tape,2026-08-28,provisional,Female bullet. Plain black - the models flag BK for right points lead / starter trigger / chassis ground and the horn return makes four. Do not identify by colour
B06.3,,,,1,W,>18,B06,80,80,tape,2026-08-28,provisional,Male bullet. Gauge >18 - visibly heavier than the common wire; 16 vs 14 not distinguished by eye and no conflict with the model's 14 AWG can be claimed. MATE (recorded 2026-08-28 while still connected): a female bullet on a same-size white wire that runs into the FUSE BOX PIGTAIL bundle alongside wires from B06.4 and B06.5. mate_class = component (fuse box)
B06.4,,,,1,W/R,,B06,80,160,tape,2026-08-28,provisional,Male bullet; WHITE base with red tracer. ** EVIDENCE OF MELTING / CORROSION **. MATE (recorded 2026-08-28 while still connected): a DOUBLE-FEMALE BULLET forming a 3-way node - its entry wire runs off as W/R to the STARTER RELAY; the other bullet slot holds a LARGER-GAUGE W/R running into the fuse box pigtail bundle. So this node is main-harness + starter relay + fuse feed. The melting sits at a joint where a larger-gauge wire meets a smaller one on the main power path - see the melting note in measurements/README. mate_class = component (starter relay / fuse box). Same colour as B04.6 (W/R) - possibly the same net
B06.5,,,,4,,,B06,80,80,tape,2026-08-28,provisional,4-pin RECTANGULAR connector. MATE (recorded 2026-08-28 while still connected): a DIRECT FIXED PIGTAIL off the FUSE BOX. Its taped bundle also gathers the mating wires of B06.3 and B06.4; all of it runs to the fuse box. mate_class = component (fuse box). Wires as read: blue; Bl/W (blue base white tracer); Br/W (brown base white tracer); R/Bl (red base blue tracer). Br/W here is a candidate answer to procedure item 0b (where does Br/W go) - but colour is not identity; confirm by ring-out. R/Bl does not appear in the cable index
B07.1,,FLASHER,W_FLASH_OUT,1,Or,,DATUM,880,100,tape,2026-08-28,provisional,B07 is a zero-length fork - both wires leave the trunk bare with no taped section. Individual spade terminal. Flasher relay OUTPUT; matches W_FLASH_OUT (FLASHER->LH; OG). Corroborated by the orange wire present in the B02.3 left-switch 6P - same net
B07.2,,FLASHER,W_FLASH_IN,1,Br,,DATUM,880,100,tape,2026-08-28,provisional,Individual spade terminal. Flasher relay FEED; identified at the bench 2026-08-28 and matches W_FLASH_IN (SP_BR->FLASHER; BN)
B08,,,,1,Y/BK,>18,DATUM,975,230,tape,2026-08-28,provisional,Single wire off the trunk - no children. Gauge recorded as >18: visibly one size heavier than the 18 AWG reference wires; 16 vs 14 NOT distinguished by eye. Needs a gauge tool. Y/BK = YELLOW base with thin black tracer. Terminates in a DOUBLE-FEMALE BULLET TERMINAL - a 1-to-2 distribution node; same hardware as B03. Second yellow-base wire found (with B04.1 the ground ring) - see the ground-net note
B09,,,,1,W/Bl,,DATUM,1060,70,tape,2026-08-28,provisional,Single wire off the trunk - no children. Male bullet. W/Bl = WHITE base with blue tracer - NOT the same wire as B01.1 which is Bl/W (BLUE base with white tracer). Does not appear in the cable index; joins B04.6 (W/R) as an unmodelled white-base wire - untranscribed (#9) or not yet modelled
B10.1,,,,1,Gy,,DATUM,1360,60,tape,2026-08-28,provisional,B10 is the TAIL FAN - the taped trunk ends at 1360 and sprays single wires to bullets. Female bullet. Grey matches SIG_RR (W_SIG_RR; GY)
B10.2,,,,1,R,,DATUM,1360,60,tape,2026-08-28,provisional,Female bullet. Plain RED. Not in the cable index but the ignition switch table in docs/kz305-b1-wiring.md carries Tail 2 (R) - so red is a documented tail-lamp circuit that is simply not modelled (#9)
B10.3,,,,1,Gn,,DATUM,1360,60,tape,2026-08-28,provisional,Female bullet. Green matches SIG_RL (W_SIG_RL; GN). Plain green as read - not light green; see the LG/GN note on B01.4
B10.4,,,,1,Bl,,DATUM,1360,60,tape,2026-08-28,provisional,Female bullet. Blue matches TAIL (W_BRAKE; BU) - the brake-lamp feed
B10.5,,,,1,BK/Y,,DATUM,1360,60,tape,2026-08-28,provisional,Female bullet whose crimp barrel holds TWO wires - one arriving from the trunk and one leaving as B10.5.1. A shared-crimp splice; same hardware pattern as B04.2. The terminal is therefore a 3-way node: trunk in; B10.5.1 out; plus whatever mates with the bullet. BK/Y = BLACK base with yellow tracer; matches the modelled tail grounds
B10.5.1,,,,1,BK/Y,,B10.5,60,100,tape,2026-08-28,provisional,Leaves from the shared crimp at B10.5's endpoint so breakout_mm equals B10.5 length_mm (60) - the degenerate fork case. Terminates in a DOUBLE-FEMALE BULLET; third 1-to-2 distribution node found (with B03 and B08)
